details,title,spec,ratt
https://www.swiggy.com/restaurants/food-factory-sahid-nagar-bhubaneswar-83409,Food Factory,"Indian, Biryani, Chinese",4.0•31 MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/kohinoor-fast-food-rasulgarh-bhubaneswar-294265,KOHINOOR FAST FOOD,Indian,--•31 MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/kfc-esplanade-rasulgarh-bhubaneswar-94382,KFC,"American, Fast Food, Snacks",4.0•31 MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/hotel-maharaja-and-fast-food-fire-station-khandagiri-bhubaneswar-85777,Hotel Maharaja and Fast Food,"Indian, Chinese, Tandoor, Biryani",3.7•51 MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/adis-dhaba-shuddha-desi-odia-khadya-old-bbsr-bhubaneswar-340242,ADI'S DHABA ( SHUDDHA DESI ODIA KHADYA ),Indian,3.6•31 MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/keventers-milkshakes-and-ice-creams-esplande-mall-rasulgarh-bhubaneswar-86982,Keventers - Milkshakes & Ice Creams,"Beverages, Ice Cream, Desserts, Healthy Food",4.3•33 MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/venus-inn-restaurant-bapuji-nagar-old-bbsr-bhubaneswar-124810,Venus Inn Restaurant,"South Indian, Indian",4.1•39 MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/cinnabon-and-auntie-annes-esplanade-one-rasulgarh-bhubaneswar-94919,Cinnabon & Auntie Anne's,Fast Food,4.4•26 MINS•₹450 FOR TWO
https://www.swiggy.com/restaurants/house-of-biryani-jayadev-vihar-nayapalli-bhubaneswar-119868,House Of Biryani,"Indian, Chinese",3.8•33 MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/rolls-on-wheels-technology-corridor-patia-bhubaneswar-74929,Rolls On Wheels,Fast Food,4.1•51 MINS•₹100 FOR TWO
https://www.swiggy.com/restaurants/red-spicy-sahid-nagar-bhubaneswar-209209,Red Spicy,Biryani,--•31 MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/biriyani-box-sahid-nagar-bhubaneswar-76135,Biriyani Box,"Biryani, Kebabs, Fast Food, Indian, Desserts",4.1•28 MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/seasoning-kitchen-chandrashekarpur-bhubaneswar-133354,Seasoning Kitchen,"Indian, Chinese, Tandoor, Continental",4.1•68 MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/shake-speare-old-bbsr-bhubaneswar-328121,Shake Speare,Beverages,4.3•28 MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/baskin-robbins-forum-esplanade-mall-rasulgarh-bhubaneswar-111281,Baskin Robbins,"Desserts, Ice Cream",4.4•34 MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/punjab-kitchen-sahid-nagar-bhubaneswar-333162,PUNJAB KITCHEN,"Indian, Biryani",4.1•51 MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/foresta-ac-family-restaurant-sahid-nagar-bhubaneswar-78065,Foresta AC Family Restaurant,"Chinese, North Indian, Fast Food",3.9•33 MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/keyars-food-sahid-nagar-old-bbsr-bhubaneswar-75643,Keyar's Food,South Indian,4.0•40 MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/chai-break-sahid-nagar-sahid-nagar-bhubaneswar-94423,Chai Break- Sahid Nagar,"Indian, Chinese, Pizzas, Italian, Pastas, Combo, Beverages",4.0•34 MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/silver-streak-sahid-nagar-bhubaneswar-81807,Silver Streak,"Chinese, Thai",4.1•30 MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/shree-bidya-ganguram-sahid-nagar-bhubaneswar-376007,SHREE BIDYA GANGURAM,"Sweets, Snacks",3.6•27 MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/frozit-sahid-nagar-bhubaneswar-368048,Frozit,"Biryani, Chinese, North Indian, Fast Food",--•31 MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/biriyani-box-sahid-nagar-bhubaneswar-76135,Biriyani Box,"Biryani, Kebabs, Fast Food, Indian, Desserts",4.1•28 MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/the-belgian-waffle-co-saheed-nagar-sahid-nagar-bhubaneswar-341979,The Belgian Waffle Co.,"Desserts, Beverages",4.5•35 MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/taste-of-china-saheed-nagar-sahid-nagar-bhubaneswar-93057,Taste Of China,Chinese,4.2•33 MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/wow-burger-sahid-nagar-bhubaneswar-379261,Wow Burger,"Continental, Fast Food, Snacks",--•38 MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/go-rolls-sahid-nagar-bhubaneswar-350023,Go Rolls,"Indian, Snacks, Bakery",--•38 MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/tawaa-tandoor-sahid-nagar-bhubaneswar-77316,Tawaa Tandoor,"Indian, Chinese, Biryani",4.0•29 MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/amrut-food-palace-sahid-nagar-bhubaneswar-353434,AMRUT FOOD PALACE,"Indian, Chinese, Biryani, Snacks, Beverages, Sweets, Fast Food, South Indian",3.0•41 MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/burger-king-esplanade-one-mall-rasulgarh-bhubaneswar-92284,Burger King,"American, Fast Food",4.3•41 MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/winni-cakes-and-more-sahid-nagar-bhubaneswar-340048,Winni Cakes & More,"Bakery, Desserts, Snacks",--•42 MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/box9-sahid-nagar-bhubaneswar-298354,BOX9,"Indian, Chinese",3.9•42 MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/biryani-five-star-sahid-nagar-bhubaneswar-328071,BIRYANI FIVE STAR,Fast Food,3.2•31 MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/five-star-kitchen-sahid-nagar-bhubaneswar-263496,FIVE STAR KITCHEN,Cafe,--•31 MINS•₹400 FOR TWO
